id,coordenadas,vereda,ubicacion,feb_2017,ago_2017,oct_2017,mar_2018,feb_2017_n,ago_2017_n,oct_2017_n,mar_2018_n,extra
7,"7.082389, -75.208358",La Plancha,"Anorí, Antioquia",128,114,130,115,1,1,2,7,
24,"6.666955, -71.208725",Filipinas,"Arauquita, Arauca",426,426,306,390,6,12,27,77,
13,"3.094840, -76.749445",La Elvira/ El Ceral / Robles,"Buenos Aires, Cauca",292,265,265,140,3,9,15,15,
12,"2.793807, -76.484547",Los Monos,"Caldono, Cauca",407,407,215,150,43,72,35,35,
4,"7.065731, -76.258324",Llano Grande,"Dabeiba, Antioquia",247,289,230,200,14,30,47,47,
1,"10.788686, -72.775819",Pondores,"Fonseca, La Guajira",225,183,225,220,4,9,15,19,
9,"4.125779, -74.509669",La Fila,"Icononzo, Tolima",320,306,270,290,11,15,14,32,
5,"7.313882, -75.825235",Santa Lucia,"Ituango, Antioquia",238,207,169,125,1,10,10,57,
21,"2.067609, -74.248277",Yarí,"La Macarena, Meta",270,251,199,199,4,6,6,12,
26,"1.520782, -75.391102",Agua Bonita,"La Montañita, Caquetá",322,270,250,261,4,8,8,8,
2,"10.348918, -73.051373",San José de Oriente,"La Paz, Cesar",158,140,164,170,1,8,8,8,
20,"3.408129, -74.130528",La Guajira,"Mesetas, Meta",552,479,270,357,13,21,21,28,
14,"3.262588, -76.216234",Monterredondo,"Miranda, Cauca",220,127,65,100,2,9,9,9,
10,"3.265732, -75.609200",El Jordán,"Planadas, Tolima",156,158,75,91,10,13,8,8,
16,"1.629601, -77.461267",Vereda Betania,"Policarpa, Nariño",200,150,80,0,5,5,5,0,
16,"1.966995, -77.115542",El Estrecho,"El Bordo-Patía, Cauca",0,0,0,84,0,0,0,11,
18,"0.490167, -76.497101",La Padrera,"Puerto Asís, Putumayo",444,358,400,288,7,14,33,32,
6,"7.024082, -74.693437",Carrizal,"Remedios, Antioquia",195,165,120,62,9,16,17,19,
17,"7.331573, -76.806624",Las Brisas / La Florida,"Riosucio, Chocó",154,133,133,142,5,4,4,12,
22,"2.798394, -71.977744",Charras,"San José del Guaviare, Guaviare",276,235,150,162,1,1,2,14,
23,"2.567549, -72.628057",Colinas,"San José del Guaviare, Guaviare",482,473,360,329,8,22,26,45,
25,"2.108207, -74.784818",Miravalle,"San Vicente del Caguán, Caquetá",169,160,135,100,0,2,2,2,
11,"8.835343, -72.733961",Caño Indio,"Tibú, Norte de Santander",316,276,103,70,3,4,2,2,
3,"7.867549, -76.282204",Gallo,"Tierralta, Córdoba",120,110,7,7,4,4,0,4,
15,"1.432893, -78.613264",La Variante,"Tumaco, Nariño",300,300,300,83,12,22,22,52,
8,"6.216237, -76.588524",Vidrí,"Vigia del Fuerte, Antioquia",181,181,120,43,7,5,5,33,
19,"3.140139, -73.753628",La Cooperativa,"Vista Hermosa, Meta",329,297,165,150,8,12,12,12,
